KATEGORIA	NAZWA	OPIS	JAK CZĘSTO	NAGRODA	NAGRODA SPECJALNA
fizyczne	gimnastyka poranna	Gimnastykuj się rano według instrukcji.	raz dziennie	10
fizyczne	20 pompek zwykłych	Zrób 20 zwykłych pompek	bez ograniczeń	5
fizyczne	20 przysiadów	Zrób 20 przysiadów	bez ograniczeń	5
fizyczne	30 brzuszków	Wykonaj 30 brzuszków	bez ograniczeń	5
fizyczne	rozciąganie wieczorem	Rozciągaj się przez 10 minut przed snem.	raz dziennie	10
fizyczne	spacer 5km	Z zachowaniem odpowiednich środków bezpieczeństwa idź na 5km spacer.	bez ograniczeń	20
fizyczne	30 wygięć grzbietu	Wykonaj 30 wygięć grzbietu do tyłu leżąc na brzuchu	bez ograniczeń	7
fizyczne	20 pompek wąskich	Zrób 20 pompek wąskich	bez ograniczeń	7
fizyczne	20 australianów	Wykonaj 20 podciągnięć australijskich	bez ograniczeń	7
fizyczne	skakanka 3min.	Skacz na skakance przez 3 minuty.	bez ograniczeń	7
fizyczne	20 pompek szerokich	Zrób 20 pompek szerokich	bez ograniczeń	7
fizyczne	noszenie zakupów	Pomóż w przyniesieniu ciężkich zakupów/przedmiotów w domu	bez ograniczeń	10
fizyczne	plank 1min.	Utrzymaj pozycje plank przez minutę	bez ograniczeń	10
fizyczne	10 pompek diamentów	Zrób 10 pompek "diamentów"	bez ograniczeń	10
fizyczne	krzesełko 1min.	Utrzymaj pozycje krzesełka przez minute.	bez ograniczeń	10
fizyczne	nożyce 30s	Wykonuj "nożyce" przez 30 sekund.	bez ograniczeń	10
fizyczne	30 burpeesów	Wykonaj 30 burpeesów	bez ograniczeń	12
fizyczne	stanie na rękach opierając się	Utrzymaj się stojąc na rękach będąc opartym o ścianę przez 30 sekund	bez ograniczeń	10
fizyczne	stanie na rękach bez oparcia	Utrzymaj się stojąc na rękach przez 10 sekund (bez podparcia o ścianę)	bez ograniczeń	12
fizyczne	minuta na jednej nodze	Wytrzymaj minutę stojąc na jednej nodze, trzymając kubki pełne wody(po jednym) na wyciągniętych rękach	bez ograniczeń	8
fizyczne	50 pajacyków	Wykonaj 50 pajacyków do rytmu piosenki "never gonna give you up" ricka astleya (ze śpiewaniem)	bez ograniczeń	10
fizyczne	tygodniowy plan ćwiczeń	Zrealizuj tygodniowy plan ćwiczeń zatwierdzony przez osobę trenującą	bez ograniczeń	40	buty poprawiające szybkość w grze
gospodarcze	odkurzanie pokoju	Poodkurzaj swój pokój.	raz dziennie	10
gospodarcze	wytarcie kurzy w pokoju	Wytrzyj wszystkie kurze w swoim pokoju.	raz dziennie	10
gospodarcze	wyniesienie śmieci	Wynieś śmieci.	raz dziennie	5
gospodarcze	przebranie z piżamy	Rano przebież się z piżamy.	raz dziennie	5
gospodarcze	pozbieranie brudnych ubrań	Zbierz wszystkie brudne ubrania w domu i wrzuć do kosza na pranie.	raz dziennie	5
gospodarcze	naczenie babci FB	Naucz babcię korzystać z Facebooka	raz w tygodniu	30
gospodarcze	toaleta poranna	Rano umyj twarz i zęby.	raz dziennie	5
gospodarcze	toaleta wieczorna	Wieczorem umyj zęby	raz dziennie	5
gospodarcze	konserwacja zawiasów	Usuń wszystkie piski i skrzypnięcia w zawiasach wszystkich drzwi	raz dziennie	15
gospodarcze	kontrola terminów ważności produktów	Sprawdź terminy ważności produktów spożywczych.	raz w tygodniu	15	złote jabłko
gospodarcze	zebranie wody	Zmagazynuj używaną w domu wodę, w celu ponownego wykorzystania, min 2 litry.	raz dziennie	10
gospodarcze	podlanie roślin	Podlej rośliny, o które nikt nie dba zmagazynowaną przez siebie wodą 	raz dziennie	10
gospodarcze	odkurzanie domu	Poodkurzaj cały dom.	raz dziennie	40
gospodarcze	dbanie o zwierzęta	Wyczyść kuwete lub wyprowadź psa lub nakarm rybki. Jeżeli masz inne zwierze - zadbaj o nie.	raz dziennie	20
gospodarcze	grabienie liści	Pograb opadłe liście	raz dziennie	15
gospodarcze	zaplanowanie dnia	Dokładnie zaplanuj następny dzień.	raz dziennie	25
gospodarcze	zebranie dat urodzin rodziny	Dowiedz się i zapisz w swoim kalendarzu urodziny rodziców i dziadków	raz w tygodniu	10
gospodarcze	sprawność zgodny	Zdobądź sprawność Zgodny*	raz w tygodniu	30
gospodarcze	umycie muszli klozetowej	Umyj muszlę klozetową. 	raz dziennie	15
gospodarcze	umycie wanny lub prysznica	Umyj wannę lub prysznic.	raz dziennie	15
gospodarcze	umycie i odkamienienie kranów	Umyj wszystkie krany w domu przy użyciu octu bądź innego SKUTECZNEGO odkamieniacza	raz dziennie	15
gospodarcze	pozbieranie baterii	Pozbieraj zużyte baterię w domu. Przygotuj je do wyniesienia.	raz dziennie	10
gospodarcze	czyszczenie sprzętu AGD	Wyczyść domowy sprzęd AGD (zmywarka, pralka)	raz dziennie	10
gospodarcze	wytarcie kurzy w domu	Wytrzyj kurze w całym domu.	raz dziennie	20
gospodarcze	przygotowanie ubrań do prania	Przygotuj brudne ubrania do prania - podziel na materiały i kolory.	raz dziennie	15
gospodarcze	zrobienie śniadania	Przygotuj i zjedz śniadanie.	raz dziennie	15
gospodarcze	zrobienie kolacji	Przygotuj i zjedz kolacje	raz dziennie	15
gospodarcze	trzepanie dywanów	Wytrzep dywany w domu	raz dziennie	25
gospodarcze	robienie wieszaka na masczki	Przygotuj wieszak na maseczki w domu	raz w tygodniu	15
gospodarcze	czas dla rodziny	Zorganizuj wspólny czas dla rodziny (gra planszowa, kalambury) na czas minimum 20 minut	raz dziennie	20
gospodarcze	plan śniadań	Zaplanuj śniadania na cały tydzień	raz dziennie	15
gospodarcze	tygodniowa zużywalność materiałów	Policz jaka jest tygodniowa zużywalność materiałów użytku codziennego (papier toaletowy itp.)	raz w tygodniu	20
gospodarcze	inspekcja bielizny	Dokonaj insepkcji stanu jakosciowego bielizny 	raz w tygodniu	10
gospodarcze	inspekcja ubrań	Posegreguj ubrania na: używane, do oddania, do wyrzucenia	raz w tygodniu	10
gospodarcze	sprzątanie biurka	Posprzątaj biurko - zostaw tylko to czego potrzebujesz, wyrzuć zepsute sprzęty	raz dziennie	10
gospodarcze	sprzątanie pokoju	Znajdź od dawna nie sprzątane miejsce w swoim pokoju i je posprzątaj. (szafa, półka, szuflada)	raz dziennie	10
gospodarcze	mycie okien w domu	Umyj okna w domu.	raz dziennie	20
gospodarcze	zmycie naczyń	Pozmywaj naczynia lub zapakuj, włącz i rozpakuj zmywarkę.	raz dziennie	10
gospodarcze	puszczenie prania	Wrzuć odpowiednią ilość ubrań do pralki. Wybierz program i detergent. Włącz pralkę. Po skończeniu powieś pranie	raz dziennie	10
gospodarcze	umycie podłogi	Umyj podłogę w domu	raz dziennie	10
gospodarcze	zarządzanie czasem	Wybierz technikę zarządzania swoim czasem i stosuj ją przez 5 dni.	raz dziennie	25
gospodarcze	protokół wejścia	Opracuj protokoły bezpiecznego wejścia do domu.	raz w tygodniu	15
gospodarcze	odkażenie klamek	Odkaź wszystkie klamki w bloku za pomocą wody z octem.	bez ograniczeń	15
gospodarcze	pomoc potrzebującym	Sprawdź czy ktoś w bloku nie potrzebuje pomocy.	bez ograniczeń	25
gospodarcze	zaplanowanie obiadu	Zaplanuj obiad na kolejny dzień.	raz dziennie	10
gospodarcze	sprzątanie piwnicy	Posprzątaj piwnicę.	raz w tygodniu	15
gospodarcze	konserwacja roweru	Sprawdź stan techniczny swojego roweru.	raz w tygodniu	15
gospodarcze	sortowanie śmieci	Przygotuj miejsce do sortowania śmieci.	raz w tygodniu	20
gospodarcze	upieczenie ciasta	Upiecz ciasto.	bez ograniczeń	15
gospodarcze	wywieszenie prania	Wyciągnij i wywieś pranie do suszenia oraz zadbaj o pralkę po praniu.	raz dziennie	10
gospodarcze	zrobienie obiadu	Przygotuj obiad dla rodziny.	raz dziennie	20
gospodarcze	naprawa kranu	Napraw cieknący kran	bez ograniczeń	15
gospodarcze	praca remontowa	Sam znajdź pracę remontową w domu i ją zrób	bez ograniczeń	25
gospodarcze	poidełko dla pszczół	Zrób poidełko dla pszczół/ptaków i systematycznie je napełniaj.	bez ograniczeń	15
gospodarcze	tygodniowe wydatki	Policz tygodniowe wydatki w domu	raz w tygodniu	25
gospodarcze	czyszczenie komputera	Wyczyść ekran i klawiaturę swojego komputera 	raz dziennie	5
gospodarcze	czyszczenie telefonu	Wyczyść i  zdezynfekuj w bezpieczny sposób ekran swojego telefonu	raz dziennie	5
gospodarcze	czyszczenie etui	Umyj i zdezynfekuj etui swojego telefonu	raz dziennie	5
gospodarcze	zadbanie o łóżko	Zadbaj o miejsce snu - zmien pościel, oczyść łóżko z kurzu, wywietrz pokój przed snem	raz dziennie	10
gospodarcze	złożenie prania	wyprasuj, poskładaj i poukładaj wysuszone pranie w szafie	raz dziennie	20
samorozwojowe	uprawa rzeżuchy	Zasadź rzeżuchę, zbierz plon i dodaj go do posiłku.	bez ograniczeń	25	diamentowa motyka
samorozwojowe	błąd w grze	Znajdź błąd w grze Harcapo	bez ograniczeń	10
samorozwojowe	uprawa szczypiora	Wyhoduj szczypior z cebuli, zbierz plon i dodaj go do posiłku.	bez ograniczeń	25	diamentowa motyka
samorozwojowe	uprawa ciecierzycy	Wyhoduj ciecierzycę.	bez ograniczeń	30	diamentowa motyka
samorozwojowe	uprawa imbiru	Wyhoduj imbir.	bez ograniczeń	30	diamentowa motyka
samorozwojowe	50 stron książki	Przeczytaj min. 50 stron książki fabularnej	bez ograniczeń	25
samorozwojowe	inspekcja rzeczy	Posegreguj rzeczy na przydatne i do oddania (stare zabawki)	raz w tygodniu	20
samorozwojowe	beletrystyczny opis	Stwórz beletrystyczny opis dnia w grze.	bez ograniczeń	30
samorozwojowe	harcerz z innego miasta	Poznaj harcerza z innego miasta.	bez ograniczeń	30
samorozwojowe	prezent na mikołajki	Przygotuj prezent na mikołajki (prezent może leżeć i czekać)	bez ograniczeń	40
samorozwojowe	sztuka online	Wybierz i zobacz interesującą Cię wystawę w dowolnym muzeum/galerii sztuki itp. online	bez ograniczeń	15
samorozwojowe	webinar	Weź udział w dowolnym szkoleniu/ webinarze, który Cie zainteresuje. Podziel się wiedzą	bez ograniczeń	30
harcerskie	sprawność domator	Zdobądź sprawność Domator*	raz w tygodniu	20
harcerskie	sprawność gibki	Zdobądź sprawność Gibki*	raz w tygodniu	25
harcerskie	sprawność higienista	Zdobądź sprawność Higienista*	raz w tygodniu	30
harcerskie	wyszycie proporca	Wyszyj proporzec	raz w tygodniu	80
harcerskie	sprawność chudy jastrząb	Zdobądź sprawność Chudy Jastrząb*	raz w tygodniu	40
harcerskie	sprawność ogrodnik	Zdobądź sprawność Ogrodnik*	raz w tygodniu	15
harcerskie	sprawność opiekun zwierząt	Zdobądź sprawność Opiekun Zwierząt*	raz w tygodniu	10
harcerskie	próba online	Przenieś swoją próbę na stopień do sieci	raz w tygodniu	15
harcerskie	weryfikacja próby	Zweryfikuj, które zadania na stopień możesz zrobić podczas kwarantanny	raz w tygodniu	15
harcerskie	sprawność kuchcik	Zdobądź sprawność Kuchcik*	raz w tygodniu	20
harcerskie	sprawność biblista	Zdobądź sprawność Biblista*	raz w tygodniu	20
harcerskie	sprawność kamyk	Zdobądź sprawność Kamyk* 	raz w tygodniu	25
harcerskie	sprawność pióro	Zdobądź sprawność Pióro*	raz w tygodniu	15
harcerskie	sprawność plastyk	Zdobądź sprawność Plastyk *	raz w tygodniu	20
harcerskie	sprawność majster	Zdobądź sprawność Majster *	raz w tygodniu	20
harcerskie	kronika zastępu	Przygotuj kronikę zastępu	raz w tygodniu	60
harcerskie	sprawność diodak	Zdobądź sprawność Diodak*	raz w tygodniu	35
harcerskie	sprawność koder	Zdobądź sprawność Koder*	raz w tygodniu	30
harcerskie	strona zastępu	Przygotuj stronę zastępu	raz w tygodniu	60
harcerskie	skaut z innego kraju	Poznaj skauta z innego kraju	raz w tygodniu	25
harcerskie	sprawność skryba	Zdobądź sprawność Skryba*	raz w tygodniu	15
harcerskie	kompletny mundur	Wyszyj wszystko na mundurze	raz w tygodniu	15	diamentowy zestaw zbroi